,gen,ref_consol,fun_consol,fun_consol
610,Desulfotalea,FAPROTAXv1.1,S_reduction,Fe
611,Desulfotignum,FAPROTAXv1.1,S_reduction,
612,Desulfotomaculum,"(Graf et al., 2014), FAPROTAXv1.1",nosZ aromatic_compound_degradation arsenate_respiration dark_hydrogen_oxidation dissimilatory sulfite reduction fermentation fumarate_respiration iron_respiration manganese_respiration methanol_oxidation nitrate_respiration nitrite_respiration plastic_degradation,
613,Desulfovibrio,", FAPROTAXv1.1",denitrification,"aresenate, H, S, DNRA, fumarate"
614,Desulfovibrionaceae,FAPROTAXv1.1,fermentation,"N, S"
615,Desulfovibrionales,"(Antharaman et al., 2016), FAPROTAXv1.1",N_cycle S_cycle H2_ox H2_prod aerobic sulfate_respiration          ,
616,Desulfovirga,FAPROTAXv1.1,S_reduction,
617,Desulfurella,FAPROTAXv1.1,H_ox,#REF!
618,Desulfuribacillus,FAPROTAXv1.1,arsenate_respiration,dark_hydrogen_oxidation sulfur_respiration thiosulfate_respiration              
619,Desulfurispira,FAPROTAXv1.1,arsenate_respiration,sulfur_respiration                
620,Desulfurispirillum,FAPROTAXv1.1,arsenate_respiration,DNRA fermentation fumarate_respiration nitrate_respiration sulfur_respiration            
621,Desulfurobacteriaceae,FAPROTAXv1.1,thiosulfate_oxidation,
622,Desulfurobacterium,FAPROTAXv1.1,H_ox,#REF!
623,Desulfurococcaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, S"
624,Desulfurococcales,FAPROTAXv1.1,thiosulfate_oxidation,
625,Desulfurococcus,FAPROTAXv1.1,fermentation,S 
626,Desulfurohaeterium,FAPROTAXv1.1,S_reduction,
627,Desulfuromonaceae,FAPROTAXv1.1,fermentation,S
628,Desulfuromonadaceae,FAPROTAXv1.1,fermentation,"fumarate, Fe, Mn, N, S"
629,Desulfuromonadales,"(Antharaman et al., 2016)",N_fix N_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic         ,
630,Desulfuromonales,FAPROTAXv1.1,thiosulfate_oxidation,
631,Desulfuromonas,FAPROTAXv1.1,fumarate_respiration,"Fe, Mn, S"
632,Desulfuromusa,FAPROTAXv1.1,Fe,N
633,Dethiosulfatarculus,FAPROTAXv1.1,H_ox,#REF!
634,Dethiosulfovibrio,FAPROTAXv1.1,S_reduction,
635,Devosia,"(Nakagawa et al., 1996), FAPROTAXv1.1",denitrification,urea
636,Dialister,"(Moore and Moore, 1994)",non-N,              
637,Diaminobutyricimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,
638,Diaphorobacter,"(Jones et al., 2008), FAPROTAXv1.1",nirK norB aerobic_chemoheterotrophy nitrate_reduction nitrate_respiration           ,
639,Dichelobacter,FAPROTAXv1.1,animal_parasites_or_symbionts,                
640,Dichotomicrobium,FAPROTAXv1.1,aerobic_chemoheterotrophy,
641,Dickeya,FAPROTAXv1.1,plant_pathogen,
642,Dictyoglomaceae,FAPROTAXv1.1,fermentation,
643,Dictyoglomi,FAPROTAXv1.1,fermentation,
644,Dictyoglomus,FAPROTAXv1.1,ligninolysis,xylan
645,Dietzia,"(Graf et al., 2014), FAPROTAXv1.1",nirK aliphatic_non_methane_hydrocarbon_degradation nitrate_reduction ureolysis            ,
646,Dietziaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
647,Dinghuibacter,"{Lv, Y.-Y., et al. (2016)}",non-N,              
648,Dinoroseobacter,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy nitrate_denitrification photoheterotrophy         ,
649,Diplosphaera,FAPROTAXv1.1,N2_fix,
650,Dissulfurirhabdus,FAPROTAXv1.1,H_ox,#REF!
651,Dokdonella,"(Yoon et al., 2006)",denitrification,
652,Dokdonia,FAPROTAXv1.1,aerobic_chemoheterotrophy,
653,Domibacillus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
654,Dongia,"(Liu et al., 2010)",denitrification,
655,Doowaniella,FAPROTAXv1.1,chitinolysis,
656,Dorea,FAPROTAXv1.1,human_gut,
657,Duganella,"{Hiraishi, A., et al. (1997)}",non-N,              
658,Dyadobacter,"(Graf et al., 2014), FAPROTAXv1.1",nosZ fermentation             ,
659,Dyadobactera,FAPROTAXv1.1,denitrification,
660,Dyella,"(Xie and Yokota, 2005) (Graf et al., 2014), FAPROTAXv1.1",denitrification,"S, Fe, urea"
661,Ectothiorhodosinus,FAPROTAXv1.1,photoheterotrophy,
662,Ectothiorhodospira,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
663,Ectothiorhodospiraceae,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation nitrate_respiration             
664,Edwardsiella,FAPROTAXv1.1,human_pathogens_all,parasite
665,Eggerthella,FAPROTAXv1.1,human_gut,human_pathogens_all
666,Eggerthia,FAPROTAXv1.1,fermentation,
667,Elioraea,FAPROTAXv1.1,aerobic_chemoheterotrophy,"S, N"
668,Elizabethkingia,FAPROTAXv1.1,ureolysis,
669,Ellin6067,,uncultured,
670,Elusimicrobia,"(Antharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic         ,
671,Empedobacter,FAPROTAXv1.1,human_pathogens_nosocomia,
672,endosymbiont,"(Graf et al., 2014)",nirS norB nosZ             ,
673,Enhydrobacter,FAPROTAXv1.1,human_gut,nitrate_reduction
674,Ensifer,"(Jones et al., 2008), FAPROTAXv1.1",nirK norB aerobic_chemoheterotrophy nitrogen_fixation            ,
675,Enteroactinococcus,FAPROTAXv1.1,denitrification,
676,Enterobacter,FAPROTAXv1.1,animal_parasites_or_symbionts,DNRA fermentation human_pathogens_all ligninolysis nitrogen_fixation plant_pathogen           
677,Enterobacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"parasite, human, N, urea"
678,Enterococcaceae,FAPROTAXv1.1,fermentation,
679,Enterococcus,"(Jones et al., 2008), FAPROTAXv1.1",nirK norB fermentation human_gut human_pathogens_all human_pathogens_meningitis          ,
680,Entomoplasmataceae,FAPROTAXv1.1,animal_parasites_or_symbionts,fermentation                
681,Eperythrozoon,FAPROTAXv1.1,animal_parasites_or_symbionts,                
682,Erwinia,FAPROTAXv1.1,cellulolysis,fermentation
683,Erysipelothrix,FAPROTAXv1.1,fish_parasites,
684,Erysipelotrichaceae,FAPROTAXv1.1,fermentation,
685,Erythrobacter,"(Antharaman et al., 2016), FAPROTAXv1.1",N_cycle S_cycle C1_ox aerobic aerobic_anoxygenic_phototrophy manganese_oxidation photoheterotrophy         ,
686,Erythromicrobium,FAPROTAXv1.1,aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy
687,Erythromonas,FAPROTAXv1.1,aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy
688,Escherichia,FAPROTAXv1.1,aerobic_chemoheterotrophy,varied
689,Ethanoligenens,"(Xing et al., 2006)",non-N,              
690,Eubacteriaceae,FAPROTAXv1.1,H_ox,#REF!
691,Eubacterium,", FAPROTAXv1.1",cellulolysis,degradation
692,Euryarchaeota,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle N_fix N_cycle S_cycle H2_ox H2_prod C1_ox aerobic aerobic_chemoheterotrophy dark_hydrogen_oxidation methanogenesis methanogenesis_by_reduction_of_methyl_compounds_with_H2 nitrate_reduction nitrate_respiration    ,
693,Euzebya,FAPROTAXv1.1,ureolysis,
694,Euzebyaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
695,Ewingella,FAPROTAXv1.1,fermentation,plant_pathogen
696,Exiguobacterium,FAPROTAXv1.1,aerobic_chemoheterotrophy,"arsenate, fermentation, N"
697,Facklamia,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, Mn"
698,Faecalibacterium,"(Duncan et al., 2002), FAPROTAXv1.1",non-N,human_gut              
699,family_Candidatus Diapherotrites archaeon_ADurb.Bin063-1,,varied_archaea,
700,family_Microscillaceae_OLB12,"{Hahnke, R. L., et al. (2016)}",varied,
701,family_Nitrosomonadaceae_IS-44,,uncultured,
702,Fangia,FAPROTAXv1.1,aerobic_chemoheterotrophy,
703,Ferribacterium,"(Cummings et al., 1999), FAPROTAXv1.1",denitrification,"fumarate, Fe"
704,Ferrimicrobium,FAPROTAXv1.1,Fe_oxidation,
705,Ferrimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,varied
706,Ferrithrix,FAPROTAXv1.1,Fe_oxidation,
707,Ferritrophicum,"{Weiss, J. V., et al. (2007)}, FAPROTAXv1.1",Fe_oxidation,Fe2
708,Ferroglobus,"(Graf et al., 2014), FAPROTAXv1.1",norB nosZ dark_iron_oxidation sulfur_respiration           ,
709,Ferroplasma,FAPROTAXv1.1,Fe_oxidation,
710,Ferrovibrio,FAPROTAXv1.1,aerobic_chemoheterotrophy,"Fe, N  "
711,Ferrovum,FAPROTAXv1.1,Fe_oxidation,
712,Ferruginibacter,"(Lim et al., 2009), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy ureolysis             
713,Fervidicella,FAPROTAXv1.1,fermentation,"Fe, Mn "
714,Fervidobacterium,FAPROTAXv1.1,cellulolysis,"fermentation, xylan"
715,Fervidobaeterium,FAPROTAXv1.1,fermentation,
716,Fibrobacter,FAPROTAXv1.1,animal_parasites_or_symbionts,cellulolysis fermentation xylanolysis              
718,FIbrobacteraceae,FAPROTAXv1.1,cellulolysis,
717,Fibrobacteraceae,FAPROTAXv1.1,fermentation,
719,Filibacter,FAPROTAXv1.1,denitrification,urea 
720,Filifactor,FAPROTAXv1.1,fermentation,
721,Filomicrobium,FAPROTAXv1.1,ureolysis,
1866,Fimbriiglobus,"(Kulichevskaya et al., 2017)",non-N,#REF!
722,Fimbriimonas,"(Im et al., 2012)",non-N,              
723,Finegoldia,FAPROTAXv1.1,human_gut,
724,Firmicutes,"(Antharaman et al., 2016), FAPROTAXv1.1",H2_prod,"H, fermentation, fumarate, Fe, N"
725,Flammeovirga,FAPROTAXv1.1,fermentation,
726,Flammeovirgaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1866,Flavihumibacter,"(Zhang et al., 2013)",non-N,aerobic              
727,Flaviramulus,FAPROTAXv1.1,ureolysis,
728,Flavisolibacter,"(Yoon and Im, 2007)",non-N,              
729,Flavitalea,FAPROTAXv1.1,aerobic_chemoheterotrophy,
730,Flavivirga,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
731,Flavobacteria,"(Antharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,
732,Flavobacteriaceae,"(Graf et al., 2014), FAPROTAXv1.1",nirK nosZ aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation fermentation nitrate_reduction          ,
733,Flavobacteriales,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ intracellular_parasites            ,
734,Flavobacterium,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy chitinolysis DNRA fermentation fumarate_respiration nitrate_denitrification nitrate_reduction nitrate_respiration nitrite_respiration ureolysis xylanolysis    
735,Flectobacillus,FAPROTAXv1.1,ureolysis,
736,Flexibacter,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ chitinolysis nitrate_reduction           ,
737,Fluviicola,"(Antharaman et al., 2016), FAPROTAXv1.1",aerobic_chemoheterotrophy,aerobic
738,Fodinibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
739,Fodinicola,FAPROTAXv1.1,ureolysis,
740,Formivibrio,FAPROTAXv1.1,fermentation,
741,Formosa,FAPROTAXv1.1,denitrification,
742,Francisella,FAPROTAXv1.1,animal_parasites_or_symbionts,human_pathogens_all                
743,Francisellaceae,FAPROTAXv1.1,animal_parasites_or_symbionts,                
744,Friedmanniella,FAPROTAXv1.1,ureolysis,
745,Frigoribacterium,FAPROTAXv1.1,aerobic_chemoheterotrophy,
746,Fuchsiella,FAPROTAXv1.1,reductive_acetogenesis,
747,Fulvomarina,FAPROTAXv1.1,Mn_ox,
748,Fusarium,"(Graf et al., 2014)",nirK norB              ,
749,Fusibacter,FAPROTAXv1.1,fermentation,
750,Fusobacteriaceae,FAPROTAXv1.1,fermentation,
751,Fusobacterium,FAPROTAXv1.1,fermentation,N
752,g__Wchb1-05_f__Anaerolineacaea,,varied,
753,Gaiella,"{Albuquerque, L., et al. (2011)}, FAPROTAXv1.1",denitrification,
754,Galbibacter,"(Graf et al., 2014)",nirK norB              ,
755,Gallibacterium,"(Graf et al., 2014)",nirK norB              ,
756,Gallionella,"(Anderson and Pedersen, 2003; Emerson et al., 2013), FAPROTAXv1.1",nitric_oxide_reduction,Fe
757,Gallionellaceae,FAPROTAXv1.1,Fe_ox,Fe
758,Gallionellales,"(Antharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod aerobic          ,
759,gamma,"(Graf et al., 2014)",nirK nirS norB nosZ            ,
760,Gammaproteobacteria,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic aerobic_chemoheterotrophy aerobic_nitrite_oxidation dark_iron_oxidation dissimilatory oxidation of arsenite for energy not,
761,Garciella,FAPROTAXv1.1,denitrification,
762,Gardnerella,FAPROTAXv1.1,human_gut,
763,Gelidibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
764,Gemmata,,varied,
765,Gemmatimonadetes,"(Antharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,
766,Gemmatimonas,"(Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy              
767,Gemmiger,FAPROTAXv1.1,fermentation,
768,Geoalkalibacter,FAPROTAXv1.1,H_ox,#REF!
769,Geobacillus,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aerobic_chemoheterotrophy aliphatic_non_methane_hydrocarbon_degradation aromatic_compound_degradation arsenate_detoxification nitrate_denitrification nitrate_reduction nitrate_respiration nitrite_respiration oil_bioremediation ureolysis xylanolysis  ,
770,Geobacter,"(Jones et al., 2008), FAPROTAXv1.1",non-N,aromatic_compound_degradation aromatic_hydrocarbon_degradation arsenate_respiration dark_hydrogen_oxidation dark_iron_oxidation fumarate_respiration iron_respiration manganese_respiration nitrate_respiration sulfur_respiration     
771,Geobacteraceae,"(Antharaman et al., 2016), FAPROTAXv1.1",N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic fumarate_respiration iron_respiration manganese_respiration sulfur_respiration    ,
772,Geodermatophilaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,Mn 
773,Geodermatophilus,FAPROTAXv1.1,denitrification,
774,Geoglobus,FAPROTAXv1.1,H_ox,#REF!
775,Geopsychrobacter,FAPROTAXv1.1,aromatic_compound_degradation,iron_respiration sulfur_respiration               
776,Georgenia,FAPROTAXv1.1,aerobic_chemoheterotrophy,N 
777,Georgfuchsia,"(Weelink et al., 2009), FAPROTAXv1.1",denitrification,"hydrocarbons, Fe, Mn"
778,Geospirillum,FAPROTAXv1.1,Fe,
779,Geothermobacter,FAPROTAXv1.1,Fe,N
780,Geothermobacterium,FAPROTAXv1.1,H_ox,#REF!
781,Geothrix,", FAPROTAXv1.1",denitrification,"hydrocarbons, fermentation, Mn"
782,Geotoga,FAPROTAXv1.1,fermentation,
783,Geovibrio,FAPROTAXv1.1,fumarate_respiration,"Fe, N"
784,Gibberella,"(Graf et al., 2014)",nirK norB              ,
785,Gibbsiella,FAPROTAXv1.1,plant_pathogen,
786,Giesbergeria,"(Grabovich et al., 2006)",non-N,              
787,Gillisia,"(Graf et al., 2014), FAPROTAXv1.1",nirK nosZ aerobic_chemoheterotrophy nitrate_reduction nitrate_respiration ureolysis          ,
788,Gilvibacter,FAPROTAXv1.1,denitrification,
789,Glaciecola,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB aerobic_chemoheterotrophy             ,
790,Globicatella,FAPROTAXv1.1,fermentation,
791,Glomus,,non-N,              
792,Gluconacetobacter,FAPROTAXv1.1,fermentation,N2_fix
793,Glycomyces,FAPROTAXv1.1,aerobic_chemoheterotrophy,
794,Glycomycesa,FAPROTAXv1.1,denitrification,
795,Goodfellowiella,FAPROTAXv1.1,ureolysis,
796,Gordonia,FAPROTAXv1.1,denitrification,urea 
797,Gordoniaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
798,Gouta19,,S_reduction,
799,Gracilibacillus,FAPROTAXv1.1,denitrification,urea 
800,Gracilibacter,FAPROTAXv1.1,fermentation,
801,Gramella,"(Graf et al., 2014)",nosZ              ,
802,Granulicatella,FAPROTAXv1.1,fermentation,
803,Granulosicoccus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
804,Haemophilus,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB fumarate_respiration human_pathogens_all human_pathogens_meningitis human_pathogens_septicemia nitrate_reduction         ,
805,Hafnia,FAPROTAXv1.1,animal_parasites_or_symbionts,fermentation                
806,Hahella,"(Jones et al., 2008) , (Graf et al., 2014)",nirS norB nosZ             ,
807,Hahellaceae,FAPROTAXv1.1,denitrification,
808,Halanaerobiaceae,FAPROTAXv1.1,cellulolysis,fermentation
809,Halanaerobium,FAPROTAXv1.1,aromatic_compound_degradation,fermentation sulfur_respiration               
810,Halarsenatibacter,FAPROTAXv1.1,arsenate_respiration,iron_respiration sulfur_respiration               
811,Haliangiaceae,FAPROTAXv1.1,predatory_or_exoparasitic,
812,Haliangium,"{Fudou, R., et al. (2002)}",non-N,              
813,Haliscomenobacter,"(Graf et al., 2014)",norB nosZ             ,
814,Haloactinobacterium,FAPROTAXv1.1,cellulolysis,
815,Haloanaerobiales,FAPROTAXv1.1,fermentation,
816,Haloanaerobium,FAPROTAXv1.1,fermentation,
817,Haloarcula,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aerobic_chemoheterotrophy nitrate_reduction nitrate_respiration          ,
818,Halobacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
819,Halobacterium,"(Graf et al., 2014), FAPROTAXv1.1",nosZ aerobic_chemoheterotrophy aromatic_compound_degradation fumarate_respiration nitrate_respiration          ,
820,Halobacteroidaceae,FAPROTAXv1.1,fermentation,acetogenesis 
821,Halobaculum,FAPROTAXv1.1,aerobic_chemoheterotrophy,
822,Halocella,", FAPROTAXv1.1",cellulolysis,
823,Halochromatium,FAPROTAXv1.1,anoxygenic_photoautotrophy_H2_oxidizing,anoxygenic_photoautotrophy_S_oxidizing                
824,Halococcus,FAPROTAXv1.1,denitrification,
825,Haloferax,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aromatic_compound_degradation fumarate_respiration oil_bioremediation          ,
826,Halogeometricum,"(Graf et al., 2014)",nirK norB nosZ             ,
827,Halogranum,FAPROTAXv1.1,aerobic_chemoheterotrophy,
828,Halolamina,FAPROTAXv1.1,aerobic_chemoheterotrophy,
829,Halomicroarcula,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
830,Halomicrobium,"(Graf et al., 2014)",nirK norB              ,
831,Halomonadaceae,FAPROTAXv1.1,fermentation,degradation
832,Halomonas,"(Vreeland et al., 1980) (Graf et al., 2014), FAPROTAXv1.1",denitrification,degradation
833,Halopiger,"(Graf et al., 2014)",nirK norB nosZ             ,
834,Halorhabdus,"(Graf et al., 2014)",nirK               ,
835,Halorhodospira,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,photoheterotrophy                
836,Halorubrum,"(Graf et al., 2014), FAPROTAXv1.1",norB nosZ aerobic_chemoheterotrophy nitrate_reduction           ,
837,Haloterrigena,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nitrate_reduction             ,
838,Halothiobacillaceae,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation              
839,Halothiobacillus,FAPROTAXv1.1,S_oxidation,N
840,Hasllibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
841,Helcobacillus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
842,Helicobacter,FAPROTAXv1.1,animal_parasites_or_symbionts,fumarate_respiration human_gut human_pathogens_all human_pathogens_gastroenteritis nitrate_reduction ureolysis           
843,Helicobacteraceae,FAPROTAXv1.1,H_ox,#REF!
844,Heliobacteriaceae,FAPROTAXv1.1,fermentation,photoheterotrophy
845,Heliobacterium,FAPROTAXv1.1,N2_fix,
846,Heliorestis,FAPROTAXv1.1,N2_fix,
847,Henriciella,FAPROTAXv1.1,aerobic_chemoheterotrophy,
848,Herbaspirillum,"(Baldani et al., 1986) (Graf et al., 2014), FAPROTAXv1.1",denitrification,"H, Mn, urea"
849,Herbiconiux,FAPROTAXv1.1,aerobic_chemoheterotrophy,xylan
850,Herbinix,FAPROTAXv1.1,cellulolysis,
851,Herbivorax,FAPROTAXv1.1,cellulolysis,"fermentation, xylan"
852,Herminiimonas,"(Ferndes et al., 2005) (Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy arsenate_detoxification arsenite_oxidation_detoxification nitrate_denitrification           
853,Herpetosiphon,"(Graf et al., 2014), FAPROTAXv1.1",nirK cellulolysis              ,
854,Hespellia,FAPROTAXv1.1,fermentation,
855,Heteroc45_4W,,non-N,              
856,hgcI clade,,varied,
857,higella,FAPROTAXv1.1,fermentation,
858,Histoplasma,"(Graf et al., 2014)",nirK norB              ,
859,Hoeflea,FAPROTAXv1.1,aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy
860,Holdemania,FAPROTAXv1.1,human_gut,
861,Holophaga,"(Liesack et al., 1994), FAPROTAXv1.1",non-N,aromatic_compound_degradation reductive_acetogenesis             
862,Holophagaceae,FAPROTAXv1.1,aromatic_compound_degradation,fermentation                
863,Holosporaceae,FAPROTAXv1.1,intracellular_parasites,
864,Homoserinimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,
865,Huaishuia,FAPROTAXv1.1,aerobic_chemoheterotrophy,urea
866,Humibacillus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
867,Humitalea,FAPROTAXv1.1,aerobic_chemoheterotrophy,urea
868,Hwanghaeicola,FAPROTAXv1.1,aerobic_chemoheterotrophy,urea
869,Hydrocarboniphaga,FAPROTAXv1.1,degradation,hydrocarbon
870,Hydrogenimonas,FAPROTAXv1.1,H_ox,#REF!
871,Hydrogenispora,FAPROTAXv1.1,fermentation,
872,Hydrogenobacter,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ dark_hydrogen_oxidation dark_oxidation_of_sulfur_compounds           ,
873,Hydrogenobaculum,FAPROTAXv1.1,arsenite_oxidation_detoxification,dark_hydrogen_oxidation                
874,Hydrogenomonas,FAPROTAXv1.1,H_ox,#REF!
875,Hydrogenophaga,"(Willems et al., 1989), FAPROTAXv1.1",denitrification,"H, S, arsenite"
876,Hydrogenophilaceae,FAPROTAXv1.1,S_oxidation,
877,Hydrogenophilales,"(Antharaman et al., 2016)",C_cycle N_cycle S_cycle H2_ox H2_prod C1_ox aerobic           ,
878,Hydrogenophilus,FAPROTAXv1.1,denitrification,urea 
879,Hydrogenothermus,FAPROTAXv1.1,knallgas_bacteria,
880,Hydrogenovibrio,FAPROTAXv1.1,H_ox,#REF!
881,Hydrotalea,FAPROTAXv1.1,aerobic_chemoheterotrophy,
882,Hymenobacter,"(Reddy, 2013), FAPROTAXv1.1",non-N,nitrate_reduction              
883,Hyphomicrobiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,varied
884,Hyphomicrobium,"(Moore, 1981) (Graf et al., 2014), FAPROTAXv1.1",denitrification,urea
885,Hyphomonadaceae_family_SWB02,,varied,
886,Hyphomonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,"Fe, N  "
887,Iamia,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
888,Ideonella,"(Malmqvist et al., 1994), FAPROTAXv1.1",non-N,nitrate_respiration              
889,Idiomarina,"(Jones et al., 2008) , (Graf et al., 2014)",nirK norB              ,
890,Ignavibacteria,"(Antharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,
891,Ignavibacterium,"{Iino, T., et al. (2010)} (Graf et al., 2014)",S_reduction,
892,Ignavigranum,FAPROTAXv1.1,aerobic_chemoheterotrophy,
893,Ilumatobacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
894,Ilyobacter,FAPROTAXv1.1,aromatic_compound_degradation,                
895,Imtechella,"(Graf et al., 2014)",nirK norB nosZ             ,
896,Incisomonas,"(Cavalier-Smith and Scoble, 2013)",non-N,              
897,Indibacter,"(Graf et al., 2014)",nirK norB              ,
898,Intrasporangiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
899,Intrasporangium,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB aerobic_chemoheterotrophy nitrate_reduction nitrate_respiration           ,
900,Iodobacter,FAPROTAXv1.1,denitrification,
901,IS-44,,uncultured,
902,Isoptericola,FAPROTAXv1.1,chitinolysis,N
903,Jahnia,FAPROTAXv1.1,xylanolysis,
904,Janibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
905,Janthinobacterium,"(Ciesielski et al., 2014) (Shoemaker et al., 2015) (Hornung et al., 2013), FAPROTAXv1.1",non-N,chitinolysis nitrate_reduction plant_pathogen            
906,Jatrophihabitans,FAPROTAXv1.1,aerobic_chemoheterotrophy,
907,Jejudonia,FAPROTAXv1.1,aerobic_chemoheterotrophy,
908,Jettenia,FAPROTAXv1.1,anammox,anammox
909,JGI 0001001-H03,,varied,
910,Jhaorihella,FAPROTAXv1.1,aerobic_chemoheterotrophy,
911,Jiangella,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
912,Jonesia,"(Graf et al., 2014), FAPROTAXv1.1",nirK cellulolysis nitrate_reduction             ,
913,Joostella,FAPROTAXv1.1,aerobic_chemoheterotrophy,
914,Kaistia,"(Im et al., 2004), FAPROTAXv1.1",denitrification,
915,Kaistobacter,,non-N,              
916,Kandleria,FAPROTAXv1.1,fermentation,
917,Kangiella,"(Graf et al., 2014)",nirK nirS norB             ,
918,Kerstersia,FAPROTAXv1.1,human_pathogens_all,
919,Kibdelosporangium,FAPROTAXv1.1,denitrification,urea 
920,Kineococcus,FAPROTAXv1.1,ureolysis,
921,Kineosphaera,"(Graf et al., 2014)",nirK norB              ,
922,Kineosporia,FAPROTAXv1.1,aerobic_chemoheterotrophy,urea
923,Kineosporiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
924,Kingella,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ human_pathogens_all            ,
925,Kitasatospora,FAPROTAXv1.1,denitrification,
926,Klebsiella,FAPROTAXv1.1,thiosulfate_oxidation,varied
927,Knoellia,"(Groth et al., 2002)",denitrification,
928,Kocuria,FAPROTAXv1.1,arsenate_detoxification,nitrate_reduction ureolysis               
929,Kordiimonas,FAPROTAXv1.1,aromatic_hydrocarbon_degradation,                
930,Koribacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,xylan
931,Kosmotoga,FAPROTAXv1.1,fermentation,
932,Kuenenia,"(Groth et al., 2002) (Jones et al., 2008), FAPROTAXv1.1",anammox,Ammox
933,Kurthia,FAPROTAXv1.1,chitinolysis,
934,Kutzneria,FAPROTAXv1.1,denitrification,
935,Kyrpidia,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
