,gen,ref_consol,fun_consol,fun_consol,
607,Desulfospira,(Louca et al. 2016),S_reduction,,
608,Desulfosporomusa,(Louca et al. 2016),S_reduction,,
609,Desulfosporosinus,(Graf et al. 2014a; Louca et al. 2016; Stackebrandt et al. 1997),S_reduction,degradation,
610,Desulfotalea,(Louca et al. 2016),S_reduction,Fe,
611,Desulfotignum,(Louca et al. 2016),S_reduction,,
612,Desulfotomaculum,"(Graf et al., 2014; Louca et al., 2014)",nosZ aromatic_compound_degradation arsenate_respiration dark_hydrogen_oxidation dissimilatory sulfite reduction fermentation fumarate_respiration iron_respiration manganese_respiration methanol_oxidation nitrate_respiration nitrite_respiration plastic_degradation,,
613,Desulfovibrio,(Louca et al. 2016),denitrification,"aresenate,Fe_red S_red, DNRA, fumarate",
614,Desulfovibrionaceae,(Louca et al. 2016),fermentation,"N, S",
615,Desulfovibrionales,"(_Anantharaman et al., 2016; Louca et al., 2014)",N_cycle S_cycle H2_ox H2_prod aerobic sulfate_respiration          ,,
616,Desulfovirga,(Louca et al. 2016),S_reduction,,
617,Desulfurella,(Louca et al. 2016),H_ox,#REF!,
618,Desulfuribacillus,(Louca et al. 2016),arsenate_respiration,dark_hydrogen_oxidation sulfur_respiration thiosulfate_respiration              ,
619,Desulfurispira,(Louca et al. 2016),arsenate_respiration,sulfur_respiration                ,
620,Desulfurispirillum,(Louca et al. 2016),arsenate_respiration,DNRA fermentation fumarate_respiration nitrate_respiration sulfur_respiration            ,
621,Desulfurobacteriaceae,(Louca et al. 2016),thiosulfate_oxidation,,
622,Desulfurobacterium,(Louca et al. 2016),H_ox,#REF!,
623,Desulfurococcaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"fermentation, S",
624,Desulfurococcales,(Louca et al. 2016),thiosulfate_oxidation,,
625,Desulfurococcus,(Louca et al. 2016),fermentation,S ,
626,Desulfurohaeterium,(Louca et al. 2016),S_reduction,,
627,Desulfuromonaceae,(Louca et al. 2016),fermentation,S,
628,Desulfuromonadaceae,(Louca et al. 2016),fermentation,"fumarate, Fe, Mn, N, S",
629,Desulfuromonadales,"(_Anantharaman et al., 2016)",N_fix N_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic         ,,
630,Desulfuromonales,(Louca et al. 2016),thiosulfate_oxidation,,
631,Desulfuromonas,(Louca et al. 2016),fumarate_respiration,"Fe, Mn, S",
632,Desulfuromusa,(Louca et al. 2016),Fe,N,
633,Dethiosulfatarculus,(Louca et al. 2016),H_ox,#REF!,
634,Dethiosulfovibrio,(Louca et al. 2016),S_reduction,,
635,Devosia,(Louca et al. 2016; Nakagawa et al. 1996),denitrification,urea,
636,Dialister,(Moore and Moore 1994),non-N,              ,
637,Diaminobutyricimonas,(Louca et al. 2016),aerobic_chemoheterotrophy,,
638,Diaphorobacter,(Jones et al. 2008; Louca et al. 2016),nirK norB aerobic_chemoheterotrophy nitrate_reduction nitrate_respiration           ,,
639,Dichelobacter,(Louca et al. 2016),animal_parasites_or_symbionts,                ,
640,Dichotomicrobium,(Louca et al. 2016),aerobic_chemoheterotrophy,,
641,Dickeya,(Louca et al. 2016),plant_pathogen,,
642,Dictyoglomaceae,(Louca et al. 2016),fermentation,,
643,Dictyoglomi,(Louca et al. 2016),fermentation,,
644,Dictyoglomus,(Louca et al. 2016),ligninolysis,xylan,
645,Dietzia,"(Graf et al., 2014; Louca et al., 2014)",nirK aliphatic_non_methane_hydrocarbon_degradation nitrate_reduction ureolysis            ,,
646,Dietziaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
647,Dinghuibacter,(Lv et al. 2016),non-N,              ,
648,Dinoroseobacter,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirS norB nosZ aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy nitrate_denitrification photoheterotrophy         ,,
649,Diplosphaera,(Louca et al. 2016),N2_fix,,
650,Dissulfurirhabdus,(Louca et al. 2016),H_ox,#REF!,
651,Dokdonella,(Yoon et al. 2006),denitrification,,
652,Dokdonia,(Louca et al. 2016),aerobic_chemoheterotrophy,,
653,Domibacillus,(Louca et al. 2016),aerobic_chemoheterotrophy,,
654,Dongia,(Liu et al. 2010),denitrification,,
655,Doowaniella,(Louca et al. 2016),chitinolysis,,
656,Dorea,(Louca et al. 2016),human_gut,,
657,Duganella,(Hiraishi et al. 1997),non-N,              ,
658,Dyadobacter,"(Graf et al., 2014; Louca et al., 2014)",nosZ fermentation             ,,
659,Dyadobactera,(Louca et al. 2016),denitrification,,
660,Dyella,(Graf et al. 2014a; Louca et al. 2016; Xie and Yokota 2005),denitrification,"S, Fe, urea",
661,Ectothiorhodosinus,(Louca et al. 2016),photoheterotrophy,,
662,Ectothiorhodospira,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
663,Ectothiorhodospiraceae,(Louca et al. 2016),anoxygenic_photoautotrophy_S_oxidizing,dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation nitrate_respiration             ,
664,Edwardsiella,(Louca et al. 2016),human_pathogens_all,parasite,
665,Eggerthella,(Louca et al. 2016),human_gut,human_pathogens_all,
666,Eggerthia,(Louca et al. 2016),fermentation,,
667,Elioraea,(Louca et al. 2016),aerobic_chemoheterotrophy,"S, N",
668,Elizabethkingia,(Louca et al. 2016),ureolysis,,
670,Elusimicrobia,"(_Anantharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic         ,,
671,Empedobacter,(Louca et al. 2016),human_pathogens_nosocomia,,
672,endosymbiont,"(Graf et al., 2014)",nirS norB nosZ             ,,
673,Enhydrobacter,(Louca et al. 2016),human_gut,nitrate_reduction,
674,Ensifer,(Jones et al. 2008; Louca et al. 2016),nirK norB aerobic_chemoheterotrophy nitrogen_fixation            ,,
675,Enteroactinococcus,(Louca et al. 2016),denitrification,,
676,Enterobacter,(Louca et al. 2016),animal_parasites_or_symbionts,DNRA fermentation human_pathogens_all ligninolysis nitrogen_fixation plant_pathogen           ,
677,Enterobacteriaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"parasite, human, N, urea",
678,Enterococcaceae,(Louca et al. 2016),fermentation,,
679,Enterococcus,(Jones et al. 2008; Louca et al. 2016),nirK norB fermentation human_gut human_pathogens_all human_pathogens_meningitis          ,,
680,Entomoplasmataceae,(Louca et al. 2016),animal_parasites_or_symbionts,fermentation                ,
681,Eperythrozoon,(Louca et al. 2016),animal_parasites_or_symbionts,                ,
682,Erwinia,(Louca et al. 2016),cellulolysis,fermentation,
683,Erysipelothrix,(Louca et al. 2016),fish_parasites,,
684,Erysipelotrichaceae,(Louca et al. 2016),fermentation,,
685,Erythrobacter,"(_Anantharaman et al., 2016; Louca et al., 2014)",N_cycle S_cycle C1_ox aerobic aerobic_anoxygenic_phototrophy manganese_oxidation photoheterotrophy         ,,
686,Erythromicrobium,(Louca et al. 2016),aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy,
687,Erythromonas,(Louca et al. 2016),aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy,
688,Escherichia,(Louca et al. 2016),aerobic_chemoheterotrophy,varied,
689,Ethanoligenens,(Xing et al. 2006),non-N,              ,
690,Eubacteriaceae,(Louca et al. 2016),H_ox,#REF!,
691,Eubacterium,"(Louca et al., 2014)",cellulolysis,degradation,
692,Euryarchaeota,"(_Anantharaman et al., 2016; Louca et al., 2014)",C_cycle N_fix N_cycle S_cycle H2_ox H2_prod C1_ox aerobic aerobic_chemoheterotrophy dark_hydrogen_oxidation methanogenesis methanogenesis_by_reduction_of_methyl_compounds_with_H2 nitrate_reduction nitrate_respiration    ,,
693,Euzebya,(Louca et al. 2016),ureolysis,,
694,Euzebyaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
695,Ewingella,(Louca et al. 2016),fermentation,plant_pathogen,
696,Exiguobacterium,(Louca et al. 2016),aerobic_chemoheterotrophy,"arsenate, fermentation, N",
697,Facklamia,(Louca et al. 2016),aerobic_chemoheterotrophy,"fermentation, Mn",
698,Faecalibacterium,(Duncan et al. 2002; Lopez-Siles et al. 2012; Louca et al. 2016),non-N,human_gut              ,
699,family_Candidatus Diapherotrites archaeon_ADurb.Bin063-1,,varied_archaea,,
700,family_Microscillaceae_OLB12,(Hahnke et al. 2016),varied,,
701,family_Nitrosomonadaceae_IS-44,,uncultured,,
702,Fangia,(Louca et al. 2016),aerobic_chemoheterotrophy,,
703,Ferribacterium,(Cummings et al. 1999; Louca et al. 2016),denitrification,"Fe_red, fumarate",
704,Ferrimicrobium,(Louca et al. 2016),Fe_oxidation,,
705,Ferrimonas,(Louca et al. 2016),aerobic_chemoheterotrophy,varied,
706,Ferrithrix,(Louca et al. 2016),Fe_oxidation,,
707,Ferritrophicum,(Louca et al. 2016; Weiss et al. 2007),Fe_oxidation,Fe2,
708,Ferroglobus,"(Graf et al., 2014; Louca et al., 2014)",norB nosZ dark_iron_oxidation sulfur_respiration           ,,
709,Ferroplasma,(Louca et al. 2016),Fe_oxidation,,
710,Ferrovibrio,(Louca et al. 2016),aerobic_chemoheterotrophy,"Fe, N  ",
711,Ferrovum,(Louca et al. 2016),Fe_oxidation,,
712,Ferruginibacter,(Lim et al. 2009; Louca et al. 2016),non-N,aerobic_chemoheterotrophy ureolysis             ,
713,Fervidicella,(Louca et al. 2016),fermentation,"Fe, Mn ",
714,Fervidobacterium,(Louca et al. 2016),cellulolysis,"fermentation, xylan",
715,Fervidobaeterium,(Louca et al. 2016),fermentation,,
716,Fibrobacter,(Louca et al. 2016),animal_parasites_or_symbionts,cellulolysis fermentation xylanolysis              ,
718,FIbrobacteraceae,(Louca et al. 2016),cellulolysis,,
717,Fibrobacteraceae,(Louca et al. 2016),fermentation,,
719,Filibacter,(Louca et al. 2016),denitrification,urea ,
720,Filifactor,(Louca et al. 2016),fermentation,,
721,Filomicrobium,(Louca et al. 2016),ureolysis,,
1866,Fimbriiglobus,(Kulichevskaya et al. 2017),non-N,#REF!,
722,Fimbriimonas,(Im et al. 2012; Kulichevskaya et al. 2017),non-N,              ,
723,Finegoldia,(Louca et al. 2016),human_gut,,
724,Firmicutes,"(_Anantharaman et al., 2016; Louca et al., 2014)",H2_prod,"H, fermentation, fumarate, Fe, N",
725,Flammeovirga,(Louca et al. 2016),fermentation,,
726,Flammeovirgaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
1866,Flavihumibacter,(Zhang et al. 2013),non-N,aerobic              ,
727,Flaviramulus,(Louca et al. 2016),ureolysis,,
728,Flavisolibacter,(Yoon and Im 2007),non-N,              ,
729,Flavitalea,(Louca et al. 2016),aerobic_chemoheterotrophy,,
730,Flavivirga,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
731,Flavobacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,,
732,Flavobacteriaceae,"(Graf et al., 2014; Louca et al., 2014)",nirK nosZ aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation fermentation nitrate_reduction          ,,
733,Flavobacteriales,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirK norB nosZ intracellular_parasites            ,,
734,Flavobacterium,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),non-N,aerobic_chemoheterotrophy chitinolysis DNRA fermentation fumarate_respiration nitrate_denitrification nitrate_reduction nitrate_respiration nitrite_respiration ureolysis xylanolysis    ,
735,Flectobacillus,(Louca et al. 2016),ureolysis,,
736,Flexibacter,"(Graf et al., 2014; Louca et al., 2014)",nirK norB nosZ chitinolysis nitrate_reduction           ,,
737,Fluviicola,"(_Anantharaman et al., 2016; Louca et al., 2014)",aerobic_chemoheterotrophy,aerobic,
738,Fodinibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
739,Fodinicola,(Louca et al. 2016),ureolysis,,
740,Formivibrio,(Louca et al. 2016),fermentation,,
741,Formosa,(Louca et al. 2016),denitrification,,
742,Francisella,(Louca et al. 2016),animal_parasites_or_symbionts,human_pathogens_all                ,
743,Francisellaceae,(Louca et al. 2016),animal_parasites_or_symbionts,                ,
744,Friedmanniella,(Louca et al. 2016),ureolysis,,
745,Frigoribacterium,(Louca et al. 2016),aerobic_chemoheterotrophy,,
746,Fuchsiella,(Louca et al. 2016),reductive_acetogenesis,,
747,Fulvomarina,(Louca et al. 2016),Mn_ox,,
748,Fusarium,"(Graf et al., 2014)",nirK norB              ,,
749,Fusibacter,(Louca et al. 2016),fermentation,,
750,Fusobacteriaceae,(Louca et al. 2016),fermentation,,
751,Fusobacterium,(Louca et al. 2016),fermentation,N,
752,g__Wchb1-05_f__Anaerolineacaea,,varied,,
753,Gaiella,(Albuquerque et al. 2011; Louca et al. 2016),denitrification,,
754,Galbibacter,"(Graf et al., 2014)",nirK norB              ,,
755,Gallibacterium,"(Graf et al., 2014)",nirK norB              ,,
756,Gallionella,(Anderson and Pedersen 2003; Louca et al. 2016),nitric_oxide_reduction,Fe,
757,Gallionellaceae,(Louca et al. 2016),Fe_ox,Fe,
758,Gallionellales,"(_Anantharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod aerobic          ,,
759,gamma,"(Graf et al., 2014)",nirK nirS norB nosZ            ,,
760,Gammaproteobacteria,"(_Anantharaman et al., 2016; Louca et al., 2014)",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic aerobic_chemoheterotrophy aerobic_nitrite_oxidation dark_iron_oxidation dissimilatory oxidation of arsenite for energy not,,
761,Garciella,(Louca et al. 2016),denitrification,,
762,Gardnerella,(Louca et al. 2016),human_gut,,
763,Gelidibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,,
764,Gemmata,(Kulichevskaya et al. 2017),varied,,
765,Gemmatimonadetes,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,,
766,Gemmatimonas,"(Graf et al., 2014; Louca et al., 2014)",non-N,aerobic_chemoheterotrophy              ,
767,Gemmiger,(Louca et al. 2016),fermentation,,
768,Geoalkalibacter,(Louca et al. 2016),H_ox,#REF!,
769,Geobacillus,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirK norB nosZ aerobic_chemoheterotrophy aliphatic_non_methane_hydrocarbon_degradation aromatic_compound_degradation arsenate_detoxification nitrate_denitrification nitrate_reduction nitrate_respiration nitrite_respiration oil_bioremediation ureolysis xylanolysis  ,,
770,Geobacter,(Jones et al. 2008; Louca et al. 2016),non-N,aromatic_compound_degradation aromatic_hydrocarbon_degradation arsenate_respiration dark_hydrogen_oxidation dark_iron_oxidation fumarate_respiration iron_respiration manganese_respiration nitrate_respiration sulfur_respiration     ,
771,Geobacteraceae,"(_Anantharaman et al., 2016; Louca et al., 2014)",N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic fumarate_respiration iron_respiration manganese_respiration sulfur_respiration    ,,
772,Geodermatophilaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,Mn ,
773,Geodermatophilus,(Louca et al. 2016),denitrification,,
774,Geoglobus,(Louca et al. 2016),H_ox,#REF!,
775,Geopsychrobacter,(Louca et al. 2016),aromatic_compound_degradation,iron_respiration sulfur_respiration               ,
776,Georgenia,(Louca et al. 2016),aerobic_chemoheterotrophy,N ,
777,Georgfuchsia,(Louca et al. 2016; Weelink et al. 2009),denitrification,"hydrocarbons, Fe, Mn",
778,Geospirillum,(Louca et al. 2016),Fe,,
779,Geothermobacter,(Louca et al. 2016),Fe,N,
780,Geothermobacterium,(Louca et al. 2016),H_ox,#REF!,
781,Geothrix,"(Louca et al., 2014)",denitrification,"Fe_red, Mn_red, fumarate, fermentation",
782,Geotoga,(Louca et al. 2016),fermentation,,
783,Geovibrio,(Louca et al. 2016),fumarate_respiration,"Fe, N",
784,Gibberella,"(Graf et al., 2014)",nirK norB              ,,
785,Gibbsiella,(Louca et al. 2016),plant_pathogen,,
786,Giesbergeria,(Grabovich et al. 2006),non-N,              ,
787,Gillisia,"(Graf et al., 2014; Louca et al., 2014)",nirK nosZ aerobic_chemoheterotrophy nitrate_reduction nitrate_respiration ureolysis          ,,
788,Gilvibacter,(Louca et al. 2016),denitrification,,
789,Glaciecola,"(Graf et al., 2014; Louca et al., 2014)",nirK norB aerobic_chemoheterotrophy             ,,
790,Globicatella,(Louca et al. 2016),fermentation,,
791,Glomus,,fungus,              ,
792,Gluconacetobacter,(Louca et al. 2016),fermentation,N2_fix,
793,Glycomyces,(Louca et al. 2016),aerobic_chemoheterotrophy,,
794,Glycomycesa,(Louca et al. 2016),denitrification,,
795,Goodfellowiella,(Louca et al. 2016),ureolysis,,
796,Gordonia,(Louca et al. 2016),denitrification,urea ,
797,Gordoniaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
798,Gouta19,(Sun et al. 2018),S_reduction,,
799,Gracilibacillus,(Louca et al. 2016),denitrification,urea ,
800,Gracilibacter,(Louca et al. 2016),fermentation,,
801,Gramella,"(Graf et al., 2014)",nosZ              ,,
802,Granulicatella,(Louca et al. 2016),fermentation,,
803,Granulosicoccus,(Louca et al. 2016),aerobic_chemoheterotrophy,,
804,Haemophilus,"(Graf et al., 2014; Louca et al., 2014)",nirK norB fumarate_respiration human_pathogens_all human_pathogens_meningitis human_pathogens_septicemia nitrate_reduction         ,,
805,Hafnia,(Louca et al. 2016),animal_parasites_or_symbionts,fermentation                ,
806,Hahella,"(Jones et al., 2008; Graf et al., 2014)",nirS norB nosZ             ,,
807,Hahellaceae,(Louca et al. 2016),denitrification,,
808,Halanaerobiaceae,(Louca et al. 2016),cellulolysis,fermentation,
809,Halanaerobium,(Louca et al. 2016),aromatic_compound_degradation,fermentation sulfur_respiration               ,
810,Halarsenatibacter,(Louca et al. 2016),arsenate_respiration,iron_respiration sulfur_respiration               ,
811,Haliangiaceae,(Louca et al. 2016),predatory_or_exoparasitic,,
812,Haliangium,(Fudou et al. 2002),non-N,              ,
813,Haliscomenobacter,"(Graf et al., 2014)",norB nosZ             ,,
814,Haloactinobacterium,(Louca et al. 2016),cellulolysis,,
815,Haloanaerobiales,(Louca et al. 2016),fermentation,,
816,Haloanaerobium,(Louca et al. 2016),fermentation,,
817,Haloarcula,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirK norB nosZ aerobic_chemoheterotrophy nitrate_reduction nitrate_respiration          ,,
818,Halobacteriaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
819,Halobacterium,"(Graf et al., 2014; Louca et al., 2014)",nosZ aerobic_chemoheterotrophy aromatic_compound_degradation fumarate_respiration nitrate_respiration          ,,
820,Halobacteroidaceae,(Louca et al. 2016),fermentation,acetogenesis ,
821,Halobaculum,(Louca et al. 2016),aerobic_chemoheterotrophy,,
822,Halocella,"(Louca et al., 2014)",cellulolysis,,
823,Halochromatium,(Louca et al. 2016),anoxygenic_photoautotrophy_H2_oxidizing,anoxygenic_photoautotrophy_S_oxidizing                ,
824,Halococcus,(Louca et al. 2016),denitrification,,
825,Haloferax,"(Graf et al., 2014; Louca et al., 2014)",nirK norB nosZ aromatic_compound_degradation fumarate_respiration oil_bioremediation          ,,
826,Halogeometricum,"(Graf et al., 2014)",nirK norB nosZ             ,,
827,Halogranum,(Louca et al. 2016),aerobic_chemoheterotrophy,,
828,Halolamina,(Louca et al. 2016),aerobic_chemoheterotrophy,,
829,Halomicroarcula,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
830,Halomicrobium,"(Graf et al., 2014)",nirK norB              ,,
831,Halomonadaceae,(Louca et al. 2016),fermentation,degradation,
832,Halomonas,(Graf et al. 2014a; Louca et al. 2016; Vreeland et al. 1980),denitrification,"degradation, fermentation",
833,Halopiger,"(Graf et al., 2014)",nirK norB nosZ             ,,
834,Halorhabdus,"(Graf et al., 2014)",nirK               ,,
835,Halorhodospira,(Louca et al. 2016),anoxygenic_photoautotrophy_S_oxidizing,photoheterotrophy                ,
836,Halorubrum,"(Graf et al., 2014; Louca et al., 2014)",norB nosZ aerobic_chemoheterotrophy nitrate_reduction           ,,
837,Haloterrigena,"(Graf et al., 2014; Louca et al., 2014)",nirK norB nitrate_reduction             ,,
838,Halothiobacillaceae,(Louca et al. 2016),anoxygenic_photoautotrophy_S_oxidizing,dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation              ,
839,Halothiobacillus,(Louca et al. 2016),S_oxidation,N,
840,Hasllibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,,
841,Helcobacillus,(Louca et al. 2016),aerobic_chemoheterotrophy,,
842,Helicobacter,(Louca et al. 2016),animal_parasites_or_symbionts,fumarate_respiration human_gut human_pathogens_all human_pathogens_gastroenteritis nitrate_reduction ureolysis           ,
843,Helicobacteraceae,(Louca et al. 2016),H_ox,#REF!,
844,Heliobacteriaceae,(Louca et al. 2016),fermentation,photoheterotrophy,
845,Heliobacterium,(Louca et al. 2016),N2_fix,,
846,Heliorestis,(Louca et al. 2016),N2_fix,,
847,Henriciella,(Louca et al. 2016),aerobic_chemoheterotrophy,,
848,Herbaspirillum,(Baldani et al. 1986; Graf et al. 2014b; Louca et al. 2016),denitrification,"H, Mn, urea, N2_fix",
849,Herbiconiux,(Louca et al. 2016),aerobic_chemoheterotrophy,xylan,
850,Herbinix,(Louca et al. 2016),cellulolysis,,
851,Herbivorax,(Louca et al. 2016),cellulolysis,"fermentation, xylan",
852,Herminiimonas,(Fernandes et al. 2005; Graf et al. 2014b; Louca et al. 2016),non-N,aerobic_chemoheterotrophy arsenate_detoxification arsenite_oxidation_detoxification nitrate_denitrification           ,
853,Herpetosiphon,"(Graf et al., 2014; Louca et al., 2014)",nirK cellulolysis              ,,
854,Hespellia,(Louca et al. 2016),fermentation,,
857,higella,(Louca et al. 2016),fermentation,,
858,Histoplasma,"(Graf et al., 2014)",nirK norB              ,,
859,Hoeflea,(Louca et al. 2016),aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy,
860,Holdemania,(Louca et al. 2016),human_gut,,
861,Holophaga,(Liesack et al. 1994; Louca et al. 2016),non-N,aromatic_compound_degradation reductive_acetogenesis             ,
862,Holophagaceae,(Louca et al. 2016),aromatic_compound_degradation,fermentation                ,
863,Holosporaceae,(Louca et al. 2016),intracellular_parasites,,
864,Homoserinimonas,(Louca et al. 2016),aerobic_chemoheterotrophy,,
865,Huaishuia,(Louca et al. 2016),aerobic_chemoheterotrophy,urea,
866,Humibacillus,(Louca et al. 2016),aerobic_chemoheterotrophy,,
867,Humitalea,(Louca et al. 2016),aerobic_chemoheterotrophy,urea,
868,Hwanghaeicola,(Louca et al. 2016),aerobic_chemoheterotrophy,urea,
869,Hydrocarboniphaga,(Louca et al. 2016),degradation,hydrocarbon,
870,Hydrogenimonas,(Louca et al. 2016),H_ox,#REF!,
871,Hydrogenispora,(Louca et al. 2016),fermentation,,
872,Hydrogenobacter,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirS norB nosZ dark_hydrogen_oxidation dark_oxidation_of_sulfur_compounds           ,,
873,Hydrogenobaculum,(Louca et al. 2016),arsenite_oxidation_detoxification,dark_hydrogen_oxidation                ,
874,Hydrogenomonas,(Louca et al. 2016),H_ox,#REF!,
875,Hydrogenophaga,(Louca et al. 2016; Willems et al. 1989),denitrification,"H, S, arsenite",
876,Hydrogenophilaceae,(Louca et al. 2016),S_oxidation,,
877,Hydrogenophilales,"(_Anantharaman et al., 2016)",C_cycle N_cycle S_cycle H2_ox H2_prod C1_ox aerobic           ,,
878,Hydrogenophilus,(Louca et al. 2016),denitrification,urea ,
879,Hydrogenothermus,(Louca et al. 2016),knallgas_bacteria,,
880,Hydrogenovibrio,(Louca et al. 2016),H_ox,#REF!,
881,Hydrotalea,(Louca et al. 2016),aerobic_chemoheterotrophy,,
882,Hymenobacter,(Reddy 2013),non-N,nitrate_reduction              ,
883,Hyphomicrobiaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,varied,
884,Hyphomicrobium,(Graf et al. 2014; Louca et al. 2016; Moore 1981),denitrification,varied,
886,Hyphomonas,(Louca et al. 2016),aerobic_chemoheterotrophy,"Fe, N  ",
887,Iamia,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
888,Ideonella,(Louca et al. 2016; Malmqvist et al. 1994),non-N,nitrate_respiration              ,
889,Idiomarina,"(Jones et al., 2008; Graf et al., 2014)",nirK norB              ,,
890,Ignavibacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,,
891,Ignavibacterium,(Graf et al. 2014a; Iino et al. 2010),S_reduction,,
892,Ignavigranum,(Louca et al. 2016),aerobic_chemoheterotrophy,,
893,Ilumatobacter,(Louca et al. 2016),aerobic_chemoheterotrophy,,
894,Ilyobacter,(Louca et al. 2016),aromatic_compound_degradation,                ,
895,Imtechella,"(Graf et al., 2014)",nirK norB nosZ             ,,
896,Incisomonas,(Cavalier-Smith and Scoble 2013),non-N,              ,
897,Indibacter,"(Graf et al., 2014)",nirK norB              ,,
898,Intrasporangiaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
899,Intrasporangium,"(Graf et al., 2014; Louca et al., 2014)",nirK norB aerobic_chemoheterotrophy nitrate_reduction nitrate_respiration           ,,
900,Iodobacter,(Louca et al. 2016),denitrification,,
901,IS-44,,uncultured,,
902,Isoptericola,(Louca et al. 2016),chitinolysis,N,
903,Jahnia,(Louca et al. 2016),xylanolysis,,
904,Janibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
905,Janthinobacterium,(Hornung et al. 2013; Louca et al. 2016; Shoemaker et al. 2015),non-N,chitinolysis nitrate_reduction plant_pathogen            ,
906,Jatrophihabitans,(Louca et al. 2016),aerobic_chemoheterotrophy,,
907,Jejudonia,(Louca et al. 2016),aerobic_chemoheterotrophy,,
908,Jettenia,(Louca et al. 2016),anammox,anammox,
910,Jhaorihella,(Louca et al. 2016),aerobic_chemoheterotrophy,,
911,Jiangella,(Louca et al. 2016),aerobic_chemoheterotrophy,"N, urea",
912,Jonesia,"(Graf et al., 2014; Louca et al., 2014)",nirK cellulolysis nitrate_reduction             ,,
913,Joostella,(Louca et al. 2016),aerobic_chemoheterotrophy,,
914,Kaistia,(Im et al. 2004; Louca et al. 2016),denitrification,,
915,Kaistobacter,,non-N,              ,
916,Kandleria,(Louca et al. 2016),fermentation,,
917,Kangiella,"(Graf et al., 2014)",nirK nirS norB             ,,
918,Kerstersia,(Louca et al. 2016),human_pathogens_all,,
919,Kibdelosporangium,(Louca et al. 2016),denitrification,urea ,
920,Kineococcus,(Louca et al. 2016),ureolysis,,
921,Kineosphaera,"(Graf et al., 2014)",nirK norB              ,,
922,Kineosporia,(Louca et al. 2016),aerobic_chemoheterotrophy,urea,
923,Kineosporiaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
924,Kingella,"(Graf et al., 2014; Louca et al., 2014)",nirK norB nosZ human_pathogens_all            ,,
925,Kitasatospora,(Louca et al. 2016),denitrification,,
926,Klebsiella,(Louca et al. 2016),thiosulfate_oxidation,varied,
927,Knoellia,(Groth et al. 2002),denitrification,,
928,Kocuria,(Louca et al. 2016),arsenate_detoxification,nitrate_reduction ureolysis               ,
929,Kordiimonas,(Louca et al. 2016),aromatic_hydrocarbon_degradation,                ,
930,Koribacter,(Louca et al. 2016),aerobic_chemoheterotrophy,xylan,
931,Kosmotoga,(Louca et al. 2016),fermentation,,
932,Kuenenia,(Jones et al. 2008; Louca et al. 2016),anammox,Ammox,
933,Kurthia,(Louca et al. 2016),chitinolysis,,
934,Kutzneria,(Louca et al. 2016),denitrification,,
935,Kyrpidia,(Louca et al. 2016),aerobic_chemoheterotrophy,"N, urea",
