,gen,fun_consol,ref_consol
556,Denitrification,Denitrification,
557,Denitrobacterium,"Denitrification, DNRA",", FAPROTAXv1.1"
558,Denitrovibrio,"nosZ, arsenate_respiration DNRA","(Graf et al., 2014), FAPROTAXv1.1"
559,Dermabacter,human_pathogens_all,FAPROTAXv1.1
560,Dermabacteraceae,aerobic_chemoheterotrophy fermentation,FAPROTAXv1.1
561,Dermacoccaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
562,Dermacoccus,cellulolysis ureolysis,FAPROTAXv1.1
563,Dermatophilaceae,animal_parasites_or_symbionts,FAPROTAXv1.1
564,Dermatophilus,nitrate_reduction  ureolysis,FAPROTAXv1.1
565,Derxia,nitrogen_fixation,FAPROTAXv1.1
566,Desertibacter,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
567,Desulfacinum,dissimilatory sulfite reduction sulfate_respiration,FAPROTAXv1.1
568,Desulfarculaceae,sulfate_respiration,FAPROTAXv1.1
569,Desulfarculales,sulfate_respiration,FAPROTAXv1.1
570,Desulfarculus,dissimilatory sulfite reduction,FAPROTAXv1.1
571,Desulfatitalea,fumarate_respiration sulfate_respiration thiosulfate_respiration,FAPROTAXv1.1
572,Desulfitispora,dark_hydrogen_oxidation fermentation fumarate_respiration thiosulfate_respiration,FAPROTAXv1.1
573,Desulfitobacterium,"norB nosZ, aromatic_compound_degradation aromatic_hydrocarbon_degradation arsenate_respiration dark_hydrogen_oxidation dissimilatory sulfite reduction fermentation fumarate_respiration iron_respiration manganese_oxidation manganese_respiration nitrate_respiration nitrogen_fixation sulfur_respiration thiosulfate_respiration","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
574,Desulfobacca,"N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic, dissimilatory sulfite reduction","(Antharaman et al., 2016), FAPROTAXv1.1"
575,Desulfobacter,sulfate_respiration,FAPROTAXv1.1
576,Desulfobacteraceae,dissimilatory sulfite reduction fermentation,FAPROTAXv1.1
577,Desulfobacterales,"C_fix   N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic, sulfate_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
578,Desulfobacterium,aromatic_hydrocarbon_degradation dissimilatory sulfite reduction nitrate_respiration,FAPROTAXv1.1
579,Desulfobacula,"C_fix    S_cycle   H2_ox  H2_prod  C1_ox  aerobic, aromatic_hydrocarbon_degradation sulfate_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
580,Desulfobaculum,dissimilatory sulfite reduction fermentation,FAPROTAXv1.1
581,Desulfobulbaceae,dark_hydrogen_oxidation dissimilatory sulfite reduction fermentation sulfate_respiration,FAPROTAXv1.1
582,Desulfobulbus,"non-N, dissimilatory sulfite reduction DNRA fermentation iron_respiration sulfate_respiration thiosulfate_respiration",", FAPROTAXv1.1"
583,Desulfocapsa,dissimilatory sulfite reduction fermentation,FAPROTAXv1.1
584,Desulfococcus,aromatic_compound_degradation dissimilatory sulfite reduction nitrate_denitrification sulfate_respiration,FAPROTAXv1.1
585,Desulfoconvexum,aromatic_compound_degradation dark_hydrogen_oxidation fermentation sulfate_respiration sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
586,Desulfocurvus,dissimilatory sulfite reduction fermentation thiosulfate_respiration,FAPROTAXv1.1
587,Desulfofrigus,dissimilatory sulfite reduction iron_respiration,FAPROTAXv1.1
588,Desulfofustis,dissimilatory sulfite reduction,FAPROTAXv1.1
589,Desulfohalobiaceae,sulfate_respiration,FAPROTAXv1.1
590,Desulfohalobium,fermentation,FAPROTAXv1.1
591,Desulfohalophilus,sulfate_respiration,FAPROTAXv1.1
592,Desulfomaculum,arsenate_respiration nitrate_respiration,FAPROTAXv1.1
593,Desulfomicrobiaceae,fermentation sulfate_respiration,FAPROTAXv1.1
594,Desulfomicrobium,arsenate_respiration dissimilatory sulfite reduction sulfate_respiration sulfur_respiration,FAPROTAXv1.1
595,Desulfomonile,"norB  nosZ, nitrate_reduction  nitrogen_fixation sulfate_respiration thiosulfate_respiration","(Graf et al., 2014), FAPROTAXv1.1"
596,Desulfonatronaceae,dissimilatory sulfite reduction thiosulfate_respiration,FAPROTAXv1.1
597,Desulfonatronovibrio,dark_hydrogen_oxidation dissimilatory sulfite reduction fermentation sulfate_respiration thiosulfate_respiration,FAPROTAXv1.1
598,Desulfonatronum,dark_hydrogen_oxidation dissimilatory sulfite reduction fermentation iron_respiration sulfate_respiration sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
599,Desulfonatronumaceae,sulfate_respiration,FAPROTAXv1.1
600,Desulfonauticus,dark_hydrogen_oxidation sulfate_respiration sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
601,Desulfopila,dark_hydrogen_oxidation sulfate_respiration,FAPROTAXv1.1
602,Desulforhabdus,dissimilatory sulfite reduction,FAPROTAXv1.1
603,Desulforhopalus,dissimilatory sulfite reduction DNRA fermentation nitrate_respiration,FAPROTAXv1.1
604,Desulfosalsimonas,dark_hydrogen_oxidation dissimilatory sulfite reduction sulfate_respiration thiosulfate_respiration,FAPROTAXv1.1
605,Desulfosarcina,aromatic_compound_degradation dissimilatory sulfite reduction nitrate_denitrification,FAPROTAXv1.1
606,Desulfosoma,dark_hydrogen_oxidation fermentation sulfate_respiration thiosulfate_respiration,FAPROTAXv1.1
607,Desulfospira,dissimilatory sulfite reduction,FAPROTAXv1.1
608,Desulfosporomusa,sulfate_respiration,FAPROTAXv1.1
609,Desulfosporosinus,"Sulfur reduction, aromatic_compound_degradation arsenate_respiration dark_hydrogen_oxidation dissimilatory sulfite reduction fermentation fumarate_respiration iron_respiration methanol_oxidation nitrate_respiration sulfate_respiration sulfur_respiration thiosulfate_respiration","(Stackebrandt et al., 1997) (Graf et al., 2014), FAPROTAXv1.1"
610,Desulfotalea,dissimilatory sulfite reduction iron_respiration,FAPROTAXv1.1
611,Desulfotignum,dissimilatory sulfite reduction,FAPROTAXv1.1
612,Desulfotomaculum,"nosZ, aromatic_compound_degradation arsenate_respiration dark_hydrogen_oxidation dissimilatory sulfite reduction fermentation fumarate_respiration iron_respiration manganese_respiration methanol_oxidation nitrate_respiration nitrite_respiration plastic_degradation sulfate_respiration sulfur_respiration thiosulfate_respiration","(Graf et al., 2014), FAPROTAXv1.1"
613,Desulfovibrio,"Denitrification, arsenate_detoxification dark_hydrogen_oxidation dark_sulfite_oxidation dissimilatory sulfite reduction DNRA fermentation fumarate_respiration human_gut iron_respiration methanol_oxidation nitrate_respiration nitrite_ammonification plastic_degradation sulfate_respiration sulfur_respiration thiosulfate_respiration",", FAPROTAXv1.1"
614,Desulfovibrionaceae,fermentation nitrate_reduction  nitrate_respiration sulfate_respiration,FAPROTAXv1.1
615,Desulfovibrionales,"N_cycle  S_cycle   H2_ox  H2_prod   aerobic, sulfate_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
616,Desulfovirga,dissimilatory sulfite reduction,FAPROTAXv1.1
617,Desulfurella,dark_hydrogen_oxidation sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
618,Desulfuribacillus,arsenate_respiration dark_hydrogen_oxidation sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
619,Desulfurispira,arsenate_respiration sulfur_respiration,FAPROTAXv1.1
620,Desulfurispirillum,arsenate_respiration DNRA fermentation fumarate_respiration nitrate_respiration sulfur_respiration,FAPROTAXv1.1
621,Desulfurobacteriaceae,sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
622,Desulfurobacterium,dark_hydrogen_oxidation DNRA sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
623,Desulfurococcaceae,aerobic_chemoheterotrophy fermentation sulfur_respiration,FAPROTAXv1.1
624,Desulfurococcales,sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
625,Desulfurococcus,fermentation sulfur_respiration,FAPROTAXv1.1
626,Desulfurohaeterium,dissimilatory sulfite reduction,FAPROTAXv1.1
627,Desulfuromonaceae,fermentation sulfur_respiration,FAPROTAXv1.1
628,Desulfuromonadaceae,fermentation fumarate_respiration iron_respiration manganese_respiration nitrate_respiration sulfur_respiration,FAPROTAXv1.1
629,Desulfuromonadales,N_fix  N_cycle   Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
630,Desulfuromonales,sulfur_respiration,FAPROTAXv1.1
631,Desulfuromonas,fumarate_respiration iron_respiration manganese_respiration sulfur_respiration,FAPROTAXv1.1
632,Desulfuromusa,iron_respiration nitrate_respiration,FAPROTAXv1.1
633,Dethiosulfatarculus,dark_hydrogen_oxidation fermentation thiosulfate_respiration,FAPROTAXv1.1
634,Dethiosulfovibrio,sulfate_respiration sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
635,Devosia,"Denitrification, ureolysis","(Nakagawa et al., 1996), FAPROTAXv1.1"
636,Dialister,non-N,"(Moore and Moore, 1994)"
637,Diaminobutyricimonas,aerobic_chemoheterotrophy,FAPROTAXv1.1
638,Diaphorobacter,"nirK  norB, aerobic_chemoheterotrophy nitrate_reduction  nitrate_respiration","(Jones et al., 2008), FAPROTAXv1.1"
639,Dichelobacter,animal_parasites_or_symbionts,FAPROTAXv1.1
640,Dichotomicrobium,aerobic_chemoheterotrophy,FAPROTAXv1.1
641,Dickeya,plant_pathogen,FAPROTAXv1.1
642,Dictyoglomaceae,fermentation,FAPROTAXv1.1
643,Dictyoglomi,fermentation,FAPROTAXv1.1
644,Dictyoglomus,ligninolysis xylanolysis,FAPROTAXv1.1
645,Dietzia,"nirK, aliphatic_non_methane_hydrocarbon_degradation nitrate_reduction  ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
646,Dietziaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
647,Dinghuibacter,non-N,"{Lv, Y.-Y., et al. (2016)}"
648,Dinoroseobacter,"nirS norB nosZ, aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy nitrate_denitrification photoheterotrophy","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
649,Diplosphaera,nitrogen_fixation,FAPROTAXv1.1
650,Dissulfurirhabdus,dark_hydrogen_oxidation,FAPROTAXv1.1
651,Dokdonella,Denitrification,"(Yoon et al., 2006)"
652,Dokdonia,aerobic_chemoheterotrophy,FAPROTAXv1.1
653,Domibacillus,aerobic_chemoheterotrophy,FAPROTAXv1.1
654,Dongia,Denitrification,"(Liu et al., 2010)"
655,Doowaniella,chitinolysis,FAPROTAXv1.1
656,Dorea,human_gut,FAPROTAXv1.1
657,Duganella,non-N,"{Hiraishi, A., et al. (1997)}"
658,Dyadobacter,"nosZ, fermentation","(Graf et al., 2014), FAPROTAXv1.1"
659,Dyadobactera,nitrate_reduction,FAPROTAXv1.1
660,Dyella,"Denitrification, aerobic_chemoheterotrophy dark_sulfite_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation nitrate_reduction  ureolysis","(Xie and Yokota, 2005) (Graf et al., 2014), FAPROTAXv1.1"
661,Ectothiorhodosinus,photoheterotrophy,FAPROTAXv1.1
662,Ectothiorhodospira,aerobic_chemoheterotrophy anoxygenic_photoautotrophy_H2_oxidizing anoxygenic_photoautotrophy_S_oxidizing nitrate_reduction  photoheterotrophy,FAPROTAXv1.1
663,Ectothiorhodospiraceae,anoxygenic_photoautotrophy_S_oxidizing dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation nitrate_respiration,FAPROTAXv1.1
664,Edwardsiella,human_pathogens_all human_pathogens_gastroenteritis human_pathogens_septicemia,FAPROTAXv1.1
665,Eggerthella,human_gut human_pathogens_all,FAPROTAXv1.1
666,Eggerthia,fermentation,FAPROTAXv1.1
667,Elioraea,aerobic_chemoheterotrophy dark_thiosulfate_oxidation nitrate_reduction  xylanolysis,FAPROTAXv1.1
668,Elizabethkingia,ureolysis,FAPROTAXv1.1
669,Ellin6067,Ammonia oxidation,
670,Elusimicrobia,C_fix  N_fix  N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
671,Empedobacter,human_pathogens_nosocomia,FAPROTAXv1.1
672,endosymbiont,nirS norB  nosZ,"(Graf et al., 2014)"
673,Enhydrobacter,human_gut nitrate_reduction,FAPROTAXv1.1
674,Ensifer,"nirK  norB, aerobic_chemoheterotrophy nitrogen_fixation","(Jones et al., 2008), FAPROTAXv1.1"
675,Enteroactinococcus,nitrate_reduction,FAPROTAXv1.1
676,Enterobacter,animal_parasites_or_symbionts DNRA fermentation human_pathogens_all ligninolysis nitrogen_fixation plant_pathogen,FAPROTAXv1.1
677,Enterobacteriaceae,aerobic_chemoheterotrophy animal_parasites_or_symbionts fermentation human_gut human_pathogens_all invertebrate_parasites  nitrate_reduction ureolysis,FAPROTAXv1.1
678,Enterococcaceae,fermentation,FAPROTAXv1.1
679,Enterococcus,"nirK  norB, fermentation human_gut human_pathogens_all human_pathogens_meningitis","(Jones et al., 2008), FAPROTAXv1.1"
680,Entomoplasmataceae,animal_parasites_or_symbionts fermentation,FAPROTAXv1.1
681,Eperythrozoon,animal_parasites_or_symbionts,FAPROTAXv1.1
682,Erwinia,cellulolysis fermentation plant_pathogen,FAPROTAXv1.1
683,Erysipelothrix,fish_parasites,FAPROTAXv1.1
684,Erysipelotrichaceae,fermentation,FAPROTAXv1.1
685,Erythrobacter,"N_cycle  S_cycle     C1_ox  aerobic, aerobic_anoxygenic_phototrophy manganese_oxidation photoheterotrophy","(Antharaman et al., 2016), FAPROTAXv1.1"
686,Erythromicrobium,aerobic_anoxygenic_phototrophy,FAPROTAXv1.1
687,Erythromonas,aerobic_anoxygenic_phototrophy,FAPROTAXv1.1
688,Escherichia,aerobic_chemoheterotrophy fermentation fumarate_respiration human_gut human_pathogens_all human_pathogens_diarrhea human_pathogens_gastroenteritis nitrate_respiration nitrite_ammonification plant_pathogen,FAPROTAXv1.1
689,Ethanoligenens,non-N,"(Xing et al., 2006)"
690,Eubacteriaceae,dark_hydrogen_oxidation DNRA fermentation reductive_acetogenesis thiosulfate_respiration,FAPROTAXv1.1
691,Eubacterium,"Cellulolytic, aromatic_compound_degradation cellulolysis dark_hydrogen_oxidation fermentation human_gut methanol_oxidation reductive_acetogenesis xylanolysis",", FAPROTAXv1.1"
692,Euryarchaeota,"C_fix  N_fix  N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic, aerobic_chemoheterotrophy dark_hydrogen_oxidation methanogenesis methanogenesis_by_reduction_of_methyl_compounds_with_H2 nitrate_reduction  nitrate_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
693,Euzebya,ureolysis,FAPROTAXv1.1
694,Euzebyaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
695,Ewingella,fermentation plant_pathogen,FAPROTAXv1.1
696,Exiguobacterium,aerobic_chemoheterotrophy arsenate_detoxification fermentation nitrate_reduction,FAPROTAXv1.1
697,Facklamia,aerobic_chemoheterotrophy fermentation manganese_oxidation,FAPROTAXv1.1
698,Faecalibacterium,"non-N, human_gut","(Duncan et al., 2002), FAPROTAXv1.1"
699,family_Candidatus Diapherotrites archaeon_ADurb.Bin063-1,varied_archaea,
700,family_Microscillaceae_OLB12,varied,"{Hahnke, R. L., et al. (2016)}"
701,family_Nitrosomonadaceae_IS-44,Ammonia oxidation,
702,Fangia,aerobic_chemoheterotrophy,FAPROTAXv1.1
703,Ferribacterium,"Denitrification, fumarate_respiration iron_respiration nitrate_respiration","(Cummings et al., 1999), FAPROTAXv1.1"
704,Ferrimicrobium,dark_iron_oxidation,FAPROTAXv1.1
705,Ferrimonas,aerobic_chemoheterotrophy arsenate_respiration fermentation iron_respiration manganese_respiration nitrate_denitrification nitrate_respiration sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
706,Ferrithrix,dark_iron_oxidation,FAPROTAXv1.1
707,Ferritrophicum,"Fe2 oxidation, dark_iron_oxidation","{Weiss, J. V., et al. (2007)}, FAPROTAXv1.1"
708,Ferroglobus,"norB  nosZ, dark_iron_oxidation sulfur_respiration","(Graf et al., 2014), FAPROTAXv1.1"
709,Ferroplasma,dark_iron_oxidation,FAPROTAXv1.1
710,Ferrovibrio,aerobic_chemoheterotrophy dark_iron_oxidation nitrate_respiration,FAPROTAXv1.1
711,Ferrovum,dark_iron_oxidation,FAPROTAXv1.1
712,Ferruginibacter,"non-N, aerobic_chemoheterotrophy ureolysis","(Lim et al., 2009), FAPROTAXv1.1"
713,Fervidicella,fermentation iron_respiration manganese_respiration,FAPROTAXv1.1
714,Fervidobacterium,cellulolysis fermentation xylanolysis,FAPROTAXv1.1
715,Fervidobaeterium,fermentation,FAPROTAXv1.1
716,Fibrobacter,animal_parasites_or_symbionts cellulolysis fermentation xylanolysis,FAPROTAXv1.1
717,Fibrobacteraceae,fermentation,FAPROTAXv1.1
718,FIbrobacteraceae,cellulolysis,FAPROTAXv1.1
719,Filibacter,nitrate_reduction  ureolysis,FAPROTAXv1.1
720,Filifactor,fermentation,FAPROTAXv1.1
721,Filomicrobium,ureolysis,FAPROTAXv1.1
722,Fimbriimonas,non-N,"(Im et al., 2012)"
723,Finegoldia,human_gut,FAPROTAXv1.1
724,Firmicutes,"H2_prod   aerobic, dark_hydrogen_oxidation fermentation fumarate_respiration iron_respiration nitrate_reduction  thiosulfate_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
725,Flammeovirga,fermentation,FAPROTAXv1.1
726,Flammeovirgaceae,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
727,Flaviramulus,ureolysis,FAPROTAXv1.1
728,Flavisolibacter,non-N,"(Yoon and Im, 2007)"
729,Flavitalea,aerobic_chemoheterotrophy,FAPROTAXv1.1
730,Flavivirga,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
731,Flavobacteria,N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
732,Flavobacteriaceae,"nirK   nosZ, aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation fermentation nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
733,Flavobacteriales,"nirK  norB nosZ, intracellular_parasites","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
734,Flavobacterium,"non-N, aerobic_chemoheterotrophy chitinolysis DNRA fermentation fumarate_respiration nitrate_denitrification nitrate_reduction  nitrate_respiration nitrite_respiration ureolysis xylanolysis","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
735,Flectobacillus,ureolysis,FAPROTAXv1.1
736,Flexibacter,"nirK  norB  nosZ, chitinolysis nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
737,Fluviicola,"aerobic, aerobic_chemoheterotrophy","(Antharaman et al., 2016), FAPROTAXv1.1"
738,Fodinibacter,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
739,Fodinicola,ureolysis,FAPROTAXv1.1
740,Formivibrio,fermentation,FAPROTAXv1.1
741,Formosa,nitrate_reduction,FAPROTAXv1.1
742,Francisella,animal_parasites_or_symbionts human_pathogens_all,FAPROTAXv1.1
743,Francisellaceae,animal_parasites_or_symbionts,FAPROTAXv1.1
744,Friedmanniella,ureolysis,FAPROTAXv1.1
745,Frigoribacterium,aerobic_chemoheterotrophy,FAPROTAXv1.1
746,Fuchsiella,reductive_acetogenesis,FAPROTAXv1.1
747,Fulvomarina,manganese_oxidation,FAPROTAXv1.1
748,Fusarium,nirK  norB,"(Graf et al., 2014)"
749,Fusibacter,fermentation,FAPROTAXv1.1
750,Fusobacteriaceae,fermentation,FAPROTAXv1.1
751,Fusobacterium,fermentation nitrate_reduction,FAPROTAXv1.1
752,g__Wchb1-05_f__Anaerolineacaea,varied,
753,Gaiella,"Denitrification, aerobic_chemoheterotrophy nitrate_reduction","{Albuquerque, L., et al. (2011)}, FAPROTAXv1.1"
754,Galbibacter,nirK  norB,"(Graf et al., 2014)"
755,Gallibacterium,nirK  norB,"(Graf et al., 2014)"
756,Gallionella,"Nitric oxide reduction, dark_iron_oxidation","(Anderson and Pedersen, 2003; Emerson et al., 2013), FAPROTAXv1.1"
757,Gallionellaceae,aerobic_nitrite_oxidation dark_iron_oxidation,FAPROTAXv1.1
758,Gallionellales,C_fix  N_fix  N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
759,gamma,nirK nirS norB  nosZ,"(Graf et al., 2014)"
760,Gammaproteobacteria,"C_fix   N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic, aerobic_chemoheterotrophy aerobic_nitrite_oxidation dark_iron_oxidation dissimilatory oxidation of arsenite for energy not photosynthesis methanotrophy nitrate_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
761,Garciella,nitrate_reduction  nitrate_respiration,FAPROTAXv1.1
762,Gardnerella,human_gut,FAPROTAXv1.1
763,Gelidibacter,aerobic_chemoheterotrophy,FAPROTAXv1.1
764,Gemmata,varied,
765,Gemmatimonadetes,N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
766,Gemmatimonas,"non-N, aerobic_chemoheterotrophy","(Graf et al., 2014), FAPROTAXv1.1"
767,Gemmiger,fermentation,FAPROTAXv1.1
768,Geoalkalibacter,dark_hydrogen_oxidation iron_respiration manganese_respiration nitrate_respiration sulfur_respiration,FAPROTAXv1.1
769,Geobacillus,"nirK  norB nosZ, aerobic_chemoheterotrophy aliphatic_non_methane_hydrocarbon_degradation aromatic_compound_degradation arsenate_detoxification nitrate_denitrification nitrate_reduction  nitrate_respiration nitrite_respiration oil_bioremediation ureolysis xylanolysis","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
770,Geobacter,"non-N, aromatic_compound_degradation aromatic_hydrocarbon_degradation arsenate_respiration dark_hydrogen_oxidation dark_iron_oxidation fumarate_respiration iron_respiration manganese_respiration nitrate_respiration sulfur_respiration","(Jones et al., 2008), FAPROTAXv1.1"
771,Geobacteraceae,"N_fix  N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic, fumarate_respiration iron_respiration manganese_respiration sulfur_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
772,Geodermatophilaceae,aerobic_chemoheterotrophy manganese_oxidation,FAPROTAXv1.1
773,Geodermatophilus,nitrate_reduction,FAPROTAXv1.1
774,Geoglobus,dark_hydrogen_oxidation iron_respiration,FAPROTAXv1.1
775,Geopsychrobacter,aromatic_compound_degradation iron_respiration sulfur_respiration,FAPROTAXv1.1
776,Georgenia,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
777,Georgfuchsia,"Denitrification, aromatic_hydrocarbon_degradation iron_respiration manganese_respiration nitrate_denitrification","(Weelink et al., 2009), FAPROTAXv1.1"
778,Geospirillum,iron_respiration,FAPROTAXv1.1
779,Geothermobacter,iron_respiration nitrate_respiration,FAPROTAXv1.1
780,Geothermobacterium,dark_hydrogen_oxidation iron_respiration,FAPROTAXv1.1
781,Geothrix,"Denitrification, aromatic_hydrocarbon_degradation fermentation iron_respiration manganese_respiration nitrate_respiration",", FAPROTAXv1.1"
782,Geotoga,fermentation,FAPROTAXv1.1
783,Geovibrio,fumarate_respiration iron_respiration nitrate_respiration,FAPROTAXv1.1
784,Gibberella,nirK  norB,"(Graf et al., 2014)"
785,Gibbsiella,plant_pathogen,FAPROTAXv1.1
786,Giesbergeria,non-N,"(Grabovich et al., 2006)"
787,Gillisia,"nirK   nosZ, aerobic_chemoheterotrophy nitrate_reduction  nitrate_respiration ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
788,Gilvibacter,nitrate_reduction,FAPROTAXv1.1
789,Glaciecola,"nirK  norB, aerobic_chemoheterotrophy","(Graf et al., 2014), FAPROTAXv1.1"
790,Globicatella,fermentation,FAPROTAXv1.1
791,Glomus,non-N,
792,Gluconacetobacter,fermentation nitrogen_fixation,FAPROTAXv1.1
793,Glycomyces,aerobic_chemoheterotrophy,FAPROTAXv1.1
794,Glycomycesa,nitrate_reduction,FAPROTAXv1.1
795,Goodfellowiella,ureolysis,FAPROTAXv1.1
796,Gordonia,nitrate_reduction  plastic_degradation ureolysis,FAPROTAXv1.1
797,Gordoniaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
798,Gouta19,Sulfur reduction,
799,Gracilibacillus,nitrate_reduction  nitrate_respiration ureolysis,FAPROTAXv1.1
800,Gracilibacter,fermentation,FAPROTAXv1.1
801,Gramella,nosZ,"(Graf et al., 2014)"
802,Granulicatella,fermentation,FAPROTAXv1.1
803,Granulosicoccus,aerobic_chemoheterotrophy,FAPROTAXv1.1
804,Haemophilus,"nirK  norB, fumarate_respiration human_pathogens_all human_pathogens_meningitis human_pathogens_septicemia nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
805,Hafnia,animal_parasites_or_symbionts fermentation,FAPROTAXv1.1
806,Hahella,nirS norB nosZ,"(Jones et al., 2008) , (Graf et al., 2014)"
807,Hahellaceae,nitrate_reduction,FAPROTAXv1.1
808,Halanaerobiaceae,cellulolysis fermentation,FAPROTAXv1.1
809,Halanaerobium,aromatic_compound_degradation fermentation sulfur_respiration,FAPROTAXv1.1
810,Halarsenatibacter,arsenate_respiration iron_respiration sulfur_respiration,FAPROTAXv1.1
811,Haliangiaceae,predatory_or_exoparasitic,FAPROTAXv1.1
812,Haliangium,non-N,"{Fudou, R., et al. (2002)}"
813,Haliscomenobacter,norB  nosZ,"(Graf et al., 2014)"
814,Haloactinobacterium,cellulolysis,FAPROTAXv1.1
815,Haloanaerobiales,fermentation,FAPROTAXv1.1
816,Haloanaerobium,fermentation,FAPROTAXv1.1
817,Haloarcula,"nirK  norB nosZ, aerobic_chemoheterotrophy nitrate_reduction  nitrate_respiration","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
818,Halobacteriaceae,aerobic_chemoheterotrophy chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
819,Halobacterium,"nosZ, aerobic_chemoheterotrophy aromatic_compound_degradation fumarate_respiration nitrate_respiration","(Graf et al., 2014), FAPROTAXv1.1"
820,Halobacteroidaceae,fermentation reductive_acetogenesis,FAPROTAXv1.1
821,Halobaculum,aerobic_chemoheterotrophy,FAPROTAXv1.1
822,Halocella,"Cellulolytic, cellulolysis",", FAPROTAXv1.1"
823,Halochromatium,anoxygenic_photoautotrophy_H2_oxidizing anoxygenic_photoautotrophy_S_oxidizing,FAPROTAXv1.1
824,Halococcus,nitrate_reduction,FAPROTAXv1.1
825,Haloferax,"nirK  norB  nosZ, aromatic_compound_degradation fumarate_respiration oil_bioremediation","(Graf et al., 2014), FAPROTAXv1.1"
826,Halogeometricum,nirK  norB  nosZ,"(Graf et al., 2014)"
827,Halogranum,aerobic_chemoheterotrophy,FAPROTAXv1.1
828,Halolamina,aerobic_chemoheterotrophy,FAPROTAXv1.1
829,Halomicroarcula,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
830,Halomicrobium,nirK  norB,"(Graf et al., 2014)"
831,Halomonadaceae,fermentation hydrocarbon_degradation,FAPROTAXv1.1
832,Halomonas,"Denitrification, aromatic_compound_degradation","(Vreeland et al., 1980) (Graf et al., 2014), FAPROTAXv1.1"
833,Halopiger,nirK  norB  nosZ,"(Graf et al., 2014)"
834,Halorhabdus,nirK,"(Graf et al., 2014)"
835,Halorhodospira,anoxygenic_photoautotrophy_S_oxidizing photoheterotrophy,FAPROTAXv1.1
836,Halorubrum,"norB  nosZ, aerobic_chemoheterotrophy nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
837,Haloterrigena,"nirK  norB, nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
